objectid,title,creator,creatorinterview,subject,signature,date,description,condition,scopeandcontents,provenance,source,identifier,relation,type,media,format,size,rights,rightsstatement,fileid,object_location,image_small,image_thumb,Location,Collection.Number,row_number,filename_nopath,filename_ArtMuseum,id_DRDS,fileme_DRDS
little_000001,Hunt,"Little Chief, Barthell",,Kiowa (culture or style); Comanche (culture or style); Kiowa Tribe; Comanche Nation of Oklahoma,Little Chief,,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",00.11 BLittleChief,NA,Image,Gouache (paint); Paper (fiber product),image/jpg,image: 19.5 x 21.5 in.; framed: 30 x 42 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,00.11 BLittleChief.jpg,/objects/little_000001.jpg,/objects/small/little_000001_sm.jpg,/objects/thumbs/little_000001_th.jpg,Recto LL,00.O.11,1,Little ChiefB 00.11.jpg,ArtistH-L/Little ChiefB 00.11.jpg,1,little_000001.jpg
little_000002,Eagle dancer with whistle,"Watchetaker, George ""Woogie""",,Comanche (culture or style); Comanche Nation of Oklahoma,Watchetaker,,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",00.12 GWWatchetaker,NA,Image,Tempera; Paper (fiber product),image/jpg,image: 14 x 10 in.; framed: 22 x 18 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,00.12 GWWatchetaker.jpg,/objects/little_000002.jpg,/objects/small/little_000002_sm.jpg,/objects/thumbs/little_000002_th.jpg,Recto LC,00.O.12,2,WatchetakerGW 00.12.jpg,ArtistSn-Z/WatchetakerGW 00.12.jpg,2,little_000002.jpg
little_000003,War dancer I,"Sweezy, Carl",,Arapaho (culture or style); Cheyenne and Arapaho Tribes,Carl Sweezy,,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",00.13 CSweezy,NA,Image,Gouache (paint); Paper (fiber product),image/jpg,image: 11 x 7 in.; framed: 18 x 14 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,00.13 CSweezy.jpg,/objects/little_000003.jpg,/objects/small/little_000003_sm.jpg,/objects/thumbs/little_000003_th.jpg,Recto LL,00.O.13,3,SweezyC 00.13.jpg,ArtistSn-Z/SweezyC 00.13.jpg,3,little_000003.jpg
little_000004,War dancer II,"Sweezy, Carl",,Arapaho (culture or style); Cheyenne and Arapaho Tribes,Carl Sweezy,,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",00.14 CSweezy,NA,Image,Gouache (paint); Paper (fiber product),image/jpg,image: 11 x 7 in.; framed: 18 x 14 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,00.14 CSweezy.jpg,/objects/little_000004.jpg,/objects/small/little_000004_sm.jpg,/objects/thumbs/little_000004_th.jpg,Recto LL,00.O.14,4,SweezyC 00.14.jpg,ArtistSn-Z/SweezyC 00.14.jpg,4,little_000004.jpg
little_000005,Man with Spirit Horse overhead,"McMurtry, Robby",https://dc.library.okstate.edu/digital/collection/ona/id/98/rec/82,Comanche (culture or style); Comanche Nation of Oklahoma,R. McMurtry,,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",00.16 RMcMurtry,NA,Image,Markers (drawing instruments); Paper (fiber product),image/jpg,image: 4.5 x 3 in.; framed: 8 x 6 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,00.16 RMcMurtry.jpg,/objects/little_000005.jpg,/objects/small/little_000005_sm.jpg,/objects/thumbs/little_000005_th.jpg,Recto LR,00.O.16,5,McMurtryR 00.16.jpg,ArtistM-Sm/McMurtryR 00.16.jpg,5,little_000005.jpg
little_000006,Creek storyteller,"Fife, Jimmie",,Creek (culture or style); Muscogee (Creek) Nation,Fife 70,1970,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",00.4 JCFife,NA,Image,Gouache (paint); Paper (fiber product),image/jpg,image: 9.75 x 6.25 in.; framed: 17.25 x 13.25 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,00.4 JCFife.jpg,/objects/little_000006.jpg,/objects/small/little_000006_sm.jpg,/objects/thumbs/little_000006_th.jpg,Recto LL,00.O.4,6,FifeJC 00.4.jpg,ArtistA-G/FifeJC 00.4.jpg,6,little_000006.jpg
little_000007,Kiowa commodity steaks,"Ahtone Harjo, Marcelle Sharron",https://dc.library.okstate.edu/digital/collection/ona/id/173/rec/51,Kiowa (culture or style); Kiowa Tribe,Ahtone Harjo '82,1982,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",00.5 SAHarjo,NA,Image,Gouache (paint); Paper (fiber product),image/jpg,image: 10 x 6 in.; framed: 19.5 x 15.25 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,00.5 SAHarjo.jpg,/objects/little_000007.jpg,/objects/small/little_000007_sm.jpg,/objects/thumbs/little_000007_th.jpg,Recto LL,00.O.5,7,HarjoSA 00.5.jpg,ArtistH-L/HarjoSA 00.5.jpg,7,little_000007.jpg
little_000008,Plains warrior (Joshua),"Joshua, Lee",,Creek (culture or style); Seminole; Muscogee (Creek) Nation; Seminole Nation of Oklahoma,Joshua '99,1999,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",00.6 LJoshua,NA,Image,Gouache (paint); Paper (fiber product),image/jpg,image: 8 x 5 in.; framed: 13 x 10 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,00.6 LJoshua.jpg,/objects/little_000008.jpg,/objects/small/little_000008_sm.jpg,/objects/thumbs/little_000008_th.jpg,Recto LR,00.O.6,8,JoshuaLe 00.6.jpg,ArtistH-L/JoshuaLe 00.6.jpg,8,little_000008.jpg
little_000009,Anadarko Parade,"Grummer, Brenda Kennedy",,Potawatomi (culture or style);,Brenda Kennedy,,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",00.8 BKGrummer,NA,Image,Acrylic paint; Gouache (paint),image/jpg,image: 7.5 x 9.5 in.; framed: 14.25 x 17.25 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,00.8 BKGrummer.jpg,/objects/little_000009.jpg,/objects/small/little_000009_sm.jpg,/objects/thumbs/little_000009_th.jpg,Recto LR,00.O.8,9,GrummerBK 00.8.jpg,ArtistA-G/GrummerBK 00.8.jpg,9,little_000009.jpg
little_000010,Seminole warrior (Tiger),"Tiger, Jerome Christopher",,Creek (culture or style); Seminole; Muscogee (Creek) Nation; Seminole Nation of Oklahoma,Tiger 86,1986,,NA,"The Charles Little Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork depicts the Plains and Southwest, spanning from the 1930s to the present day. Charles Little collected the majority of this collection's artwork from the Red Earth Festival.",NA,"Charles Little Collection, Oklahoma State University Museum of Art",01.1 CTiger,NA,Image,Watercolor (paint),image/jpg,image: 13.75 x 9.75 in.; framed: 21 x 17 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,01.1 CTiger.jpg,/objects/little_000010.jpg,/objects/small/little_000010_sm.jpg,/objects/thumbs/little_000010_th.jpg,Recto LR,01.O.1,10,Tiger C 01.1.jpg,ArtistSn-Z/Tiger C 01.1.jpg,10,little_000010.jpg
